T° Extérieure;H% Extérieure;Dew Point;Ressentie;Vent;Rafale;Pression R;Luminosité;UVI;Pluie Heure;Pluie Jour;Semaine;Pluie mois;Pluie Année;Pm2.5;;;
6.5;88;4.6;4.1;11.9;22.3;1023;0;0;0;0;44;0;162.6;6.5;6.7;00:56;
6.5;88;4.6;3.5;15.8;22;1023;0;0;0;0;44;0;162.6;6.5;6.7;00:57;
6.4;87;4.4;5.7;5;21.2;1022.9;0;0;0;0;44;0;162.6;6.5;6.7;00:58;
6.5;87;4.5;6.5;3.6;11.5;1023.1;0;0;0;0;44;0;162.6;6.5;6.7;00:59;
6.5;87;4.5;4.7;9;12.2;1023;0;0;0;0;44;0;162.6;6.5;6.7;01:00;
6.5;87;4.5;3.7;14;18.4;1022.7;0;0;0;0;44;0;162.6;6.5;6.7;01:01;
6.5;87;4.5;4;12.6;27;1022.9;0;0;0;0;44;0;162.6;6.5;6.7;01:02;
6.5;87;4.5;4;12.6;19.8;1022.8;0;0;0;0;44;0;162.6;6.5;6.6;01:03;
6.5;87;4.5;3.2;18;24.8;1022.7;0;0;0;0;44;0;162.6;6.5;6.7;01:04;
6.5;87;4.5;5.1;7.2;14.4;1022.8;0;0;0;0;44;0;162.6;6.5;6.7;01:05;
6.5;87;4.5;5.1;7.2;14;1022.8;0;0;0;0;44;0;162.6;6.5;6.7;01:06;
6.5;87;4.5;4.6;9.4;11.2;1022.8;0;0;0;0;44;0;162.6;6.5;6.7;01:07;
6.5;87;4.5;4.3;10.8;12.6;1022.6;0;0;0;0;44;0;162.6;6.5;6.7;01:08;
6.5;87;4.5;4;12.6;13.7;1022.7;0;0;0;0;44;0;162.6;6.6;6.6;01:09;
6.4;87;4.4;3.5;14.4;18.7;1022.7;0;0;0;0;44;0;162.6;6.5;6.6;01:10;
6.4;87;4.4;3.8;12.6;21.6;1022.6;0;0;0;0;44;0;162.6;6.5;6.7;01:11;
6.4;87;4.4;4.4;10.1;14.8;1022.6;0;0;0;0;44;0;162.6;6.5;6.6;01:12;
6.4;87;4.4;5;7.2;16.2;1022.6;0;0;0;0;44;0;162.6;6.5;6.6;01:13;
6.5;87;4.5;4.6;9.4;17.3;1022.7;0;0;0;0;44;0;162.6;6.5;6.6;01:14;
6.5;87;4.5;4.7;8.6;12.6;1022.7;0;0;0;0;44;0;162.6;6.5;6.6;01:15;
6.5;87;4.5;4.5;9.7;14.4;1022.8;0;0;0;0;44;0;162.6;6.6;6.7;01:16;
6.5;87;4.5;4.6;9.4;15.8;1022.8;0;0;0;0;44;0;162.6;6.5;6.6;01:17;
6.4;87;4.4;4.6;8.6;12.6;1022.6;0;0;0;0;44;0;162.6;6.5;6.6;01:18;
6.4;87;4.4;2.9;19.4;19.4;1022.9;0;0;0;0;44;0;162.6;6.5;6.7;01:19;
6.4;87;4.4;5.4;5.8;12.2;1022.7;0;0;0;0;44;0;162.6;6.5;6.6;01:20;
6.4;86;4.3;3.5;14.4;25.9;1022.8;0;0;0;0;44;0;162.6;6.5;6.6;01:21;
6.5;86;4.4;6.5;2.2;11.2;1022.7;0;0;0;0;44;0;162.6;6.5;6.6;01:22;
6.5;86;4.4;4.5;10.1;10.8;1022.6;0;0;0;0;44;0;162.6;6.5;6.6;01:23;
6.5;87;4.5;5.4;6.1;11.9;1022.9;0;0;0;0;44;0;162.6;6.5;6.6;01:24;
6.5;87;4.5;5.5;5.8;12.2;1022.6;0;0;0;0;44;0;162.6;6.5;6.7;01:25;
6.5;87;4.5;4.2;11.2;15.5;1022.9;0;0;0;0;44;0;162.6;6.5;6.6;01:26;
6.4;87;4.4;4.4;10.1;11.5;1022.7;0;0;0;0;44;0;162.6;6.5;6.6;01:27;
6.4;87;4.4;5.7;5;12.2;1022.4;0;0;0;0;44;0;162.6;6.5;6.6;01:28;
6.4;87;4.4;5;7.2;13.3;1022.5;0;0;0;0;44;0;162.6;6.5;6.6;01:29;
6.4;87;4.4;6.4;4.7;10.8;1022.6;0;0;0;0;44;0;162.6;6.5;6.6;01:30;
6.4;87;4.4;4.8;7.9;17.3;1022.6;0;0;0;0;44;0;162.6;6.5;6.6;01:31;
6.4;87;4.4;4;11.5;19.1;1022.5;0;0;0;0;44;0;162.6;6.5;6.6;01:32;
6.4;87;4.4;3.3;16.2;18.4;1022.6;0;0;0;0;44;0;162.6;6.5;6.6;01:33;
6.4;87;4.4;4.7;8.3;13;1022.8;0;0;0;0;44;0;162.6;6.5;6.6;01:34;
6.4;87;4.4;3.8;13;20.9;1022.6;0;0;0;0;44;0;162.6;6.5;6.6;01:35;
6.4;87;4.4;4.2;10.8;19.4;1022.7;0;0;0;0;44;0;162.6;6.5;6.6;01:36;
6.5;87;4.5;2.9;20.2;21.2;1022.4;0;0;0;0;44;0;162.6;6.5;6.6;01:37;
6.5;87;4.5;4.1;11.9;16.9;1022.8;0;0;0;0;44;0;162.6;6.5;6.6;01:38;
6.5;87;4.5;4.5;9.7;14.4;1022.7;0;0;0;0;44;0;162.6;6.5;6.6;01:39;
6.5;87;4.5;3.7;14.4;20.5;1022.5;0;0;0;0;44;0;162.6;6.5;6.6;01:40;
6.5;86;4.4;5.2;6.8;15.8;1022.7;0;0;0;0;44;0;162.6;6.5;6.6;01:41;
6.5;86;4.4;4.2;11.5;17.6;1022.7;0;0;0;0;44;0;162.6;6.5;6.6;01:42;
6.5;86;4.4;4.7;8.6;14;1022.6;0;0;0;0;44;0;162.6;6.5;6.6;01:43;
6.5;85;4.2;4.2;11.5;16.6;1022.6;0;0;0;0;44;0;162.6;6.5;6.7;01:44;
6.5;85;4.2;4;12.2;22.3;1022.5;0;0;0;0;44;0;162.6;6.5;6.7;01:45;
6.5;85;4.2;3.8;13.7;18.7;1022.7;0;0;0;0;44;0;162.6;6.5;6.6;01:46;
6.5;85;4.2;3.7;14;16.9;1022.7;0;0;0;0;44;0;162.6;6.4;6.6;01:47;
6.5;85;4.2;5;7.6;10.4;1022.7;0;0;0;0;44;0;162.6;6.4;6.6;01:48;
6.5;86;4.4;5.4;6.1;10.4;1022.7;0;0;0;0;44;0;162.6;6.4;6.6;01:49;
6.4;86;4.3;3.8;12.6;16.9;1022.7;0;0;0;0;44;0;162.6;6.4;6.6;01:50;
6.4;86;4.3;3.5;14.4;19.4;1022.7;0;0;0;0;44;0;162.6;6.3;6.5;01:51;
6.4;86;4.3;4.4;10.1;17.3;1022.6;0;0;0;0;44;0;162.6;6.3;6.5;01:52;
6.3;85;4;4.2;10.1;19.4;1022.6;0;0;0;0;44;0;162.6;6.2;6.4;01:53;
6.3;85;4;4.2;10.1;13.3;1022.7;0;0;0;0;44;0;162.6;6.1;6.4;01:54;
6.3;85;4;3.7;12.6;15.1;1022.3;0;0;0;0;44;0;162.6;6;6.4;01:55;
6.2;86;4.1;3.6;12.6;18;1022.5;0;0;0;0;44;0;162.6;5.9;6.3;01:56;
6.2;86;4.1;4.1;10.1;11.5;1022.4;0;0;0;0;44;0;162.6;5.9;6.3;01:57;
6.1;86;4;3.2;14.4;16.2;1022.4;0;0;0;0;44;0;162.6;5.8;6.2;01:58;
6.1;86;4;4;10.1;13;1022.4;0;0;0;0;44;0;162.6;5.8;6.2;01:59;
6.1;86;4;4.4;7.9;11.5;1022.3;0;0;0;0;44;0;162.6;5.7;6.1;02:00;
6;86;3.9;4.7;6.5;12.2;1022.6;0;0;0;0;44;0;162.6;5.6;6.1;02:01;
6;86;3.9;4.9;6.1;14.4;1022.3;0;0;0;0;44;0;162.6;5.6;6.1;02:02;
6;86;3.9;4.1;8.6;10.1;1022.4;0;0;0;0;44;0;162.6;5.5;6;02:03;
5.9;86;3.8;5.9;4.3;10.4;1022.2;0;0;0;0;44;0;162.6;5.5;5.9;02:04;
5.9;87;3.9;3.6;10.4;10.4;1022.3;0;0;0;0;44;0;162.6;5.4;5.9;02:05;
5.8;87;3.8;4.2;7.6;8.3;1022.2;0;0;0;0;44;0;162.6;5.4;5.9;02:06;
5.8;87;3.8;5.8;4.7;6.5;1022.3;0;0;0;0;44;0;162.6;5.3;5.8;02:07;
5.7;87;3.7;2.8;14;16.6;1022.4;0;0;0;0;44;0;162.6;5.2;5.8;02:08;
5.7;87;3.7;3.6;9.7;10.4;1022.3;0;0;0;0;44;0;162.6;5.2;5.7;02:09;
5.7;87;3.7;4.6;5.8;13;1022.2;0;0;0;0;44;0;162.6;5.1;5.7;02:10;
