T° Extérieure;H% Extérieure;Dew Point;Ressentie;Vent;Rafale;Pression R;Luminosité;UVI;Pluie Heure;Pluie Jour;Semaine;Pluie mois;Pluie Année;Pm2.5;;;
10.3;87;8.2;10.3;2.2;2.9;1008.7;0;0;0;0;1.1;56.2;612.4;9.7;9.9;00:53;
10.4;88;8.4;10.4;3.6;4;1008.7;0;0;0;0;1.1;56.2;612.4;9.7;9.8;00:54;
10.6;88;8.6;10.6;2.5;2.9;1008.9;0;0;0;0;1.1;56.2;612.4;9.6;9.8;00:55;
10.5;88;8.5;10.5;0;0;1008.8;0;0;0;0;1.1;56.2;612.4;9.6;9.8;00:56;
10.5;88;8.5;10.5;2.2;3.2;1008.7;0;0;0;0;1.1;56.2;612.4;9.6;9.7;00:57;
10.4;88;8.4;10.4;0;2.2;1008.8;0;0;0;0;1.1;56.2;612.4;9.5;9.7;00:58;
10.3;88;8.3;10.3;3.6;3.6;1008.8;0;0;0;0;1.1;56.2;612.4;9.5;9.7;00:59;
10.1;88;8.1;10.1;0;2.5;1008.8;0;0;0;0;1.1;56.2;612.4;9.5;9.6;01:00;
10.1;88;8.1;10.1;2.2;2.2;1008.9;0;0;0;0;1.1;56.2;612.4;9.5;9.6;01:01;
10;88;8;10;0;0;1008.7;0;0;0;0;1.1;56.2;612.4;9.4;9.6;01:02;
9.9;88;7.9;9.9;0;0;1008.9;0;0;0;0;1.1;56.2;612.4;9.4;9.5;01:03;
9.8;88;7.8;9.8;0;0;1008.6;0;0;0;0;1.1;56.2;612.4;9.4;9.5;01:04;
9.8;88;7.8;9.8;0;0;1008.7;0;0;0;0;1.1;56.2;612.4;9.3;9.5;01:05;
9.7;88;7.7;9.7;1.8;2.2;1008.9;0;0;0;0;1.1;56.2;612.4;9.3;9.5;01:06;
9.7;88;7.7;9.7;2.5;2.5;1008.8;0;0;0;0;1.1;56.2;612.4;9.2;9.4;01:07;
9.6;88;7.6;9.6;1.8;2.2;1008.8;0;0;0;0;1.1;56.2;612.4;9.2;9.4;01:08;
9.6;88;7.6;9.6;0;0;1008.5;0;0;0;0;1.1;56.2;612.4;9.1;9.3;01:09;
9.6;88;7.6;9.6;2.5;2.5;1008.8;0;0;0;0;1.1;56.2;612.4;9.1;9.3;01:10;
9.5;88;7.6;9.5;1.8;2.9;1008.5;0;0;0;0;1.1;56.2;612.4;9.1;9.2;01:11;
