T° Extérieure;H% Extérieure;Dew Point;Ressentie;Vent;Rafale;Pression R;Luminosité;UVI;Pluie Heure;Pluie Jour;Semaine;Pluie mois;Pluie Année;Pm2.5;;;
7.6;85;5.2;7.6;3.6;4.7;1027.9;0;0;0;0;0;0;0;7.5;7.5;00:00;20250101
7.6;85;5.2;7.6;0;2.2;1028;0;0;0;0;0;0;0;7.5;7.5;00:01;
7.6;85;5.2;7.6;2.5;7.9;1027.8;0;0;0;0;0;0;0;7.5;7.5;00:02;
7.6;85;5.2;6.8;5.8;6.8;1027.9;0;0;0;0;0;0;0;7.5;7.5;00:03;
7.5;85;5.1;6.9;5;5;1028;0;0;0;0;0;0;0;7.5;7.5;00:04;
7.5;85;5.1;7.5;4.3;4.3;1027.7;0;0;0;0;0;0;0;7.5;7.5;00:05;
7.5;85;5.1;7.5;1.8;2.5;1027.9;0;0;0;0;0;0;0;7.5;7.5;00:06;
7.5;85;5.1;7.5;2.5;5.8;1027.7;0;0;0;0;0;0;0;7.5;7.5;00:07;
7.5;84;5;6.9;5;6.8;1027.9;0;0;0;0;0;0;0;7.5;7.5;00:08;
7.6;84;5.1;6.9;5.4;6.8;1027.8;0;0;0;0;0;0;0;7.5;7.5;00:09;
7.6;85;5.2;5.5;11.2;11.5;1027.7;0;0;0;0;0;0;0;7.5;7.6;00:10;
7.6;84;5.1;7.6;2.9;9;1027.8;0;0;0;0;0;0;0;7.5;7.6;00:11;
7.6;84;5.1;6.8;5.8;10.4;1027.4;0;0;0;0;0;0;0;7.5;7.6;00:12;
7.6;84;5.1;7;5;6.8;1027.8;0;0;0;0;0;0;0;7.5;7.6;00:13;
7.6;85;5.2;6.2;7.9;8.3;1027.7;0;0;0;0;0;0;0;7.5;7.6;00:14;
7.6;85;5.2;7.6;3.2;6.5;1027.7;0;0;0;0;0;0;0;7.5;7.6;00:15;
7.6;85;5.2;7.6;3.2;4;1027.7;0;0;0;0;0;0;0;7.6;7.6;00:16;
7.6;85;5.2;6.9;5.4;8.3;1027.8;0;0;0;0;0;0;0;7.6;7.6;00:17;
7.6;85;5.2;6.9;5.4;6.1;1027.6;0;0;0;0;0;0;0;7.6;7.6;00:18;
7.6;85;5.2;7.6;0;2.5;1027.6;0;0;0;0;0;0;0;7.6;7.6;00:19;
7.6;85;5.2;7.6;2.9;5.4;1027.5;0;0;0;0;0;0;0;7.6;7.6;00:20;
7.6;85;5.2;6.2;8.3;8.3;1027.7;0;0;0;0;0;0;0;7.6;7.6;00:21;
7.6;85;5.2;6.8;5.8;7.2;1027.6;0;0;0;0;0;0;0;7.6;7.6;00:22;
7.6;84;5.1;6.9;5.4;8.6;1027.5;0;0;0;0;0;0;0;7.6;7.6;00:23;
7.6;84;5.1;6.5;6.8;7.9;1027.5;0;0;0;0;0;0;0;7.6;7.6;00:24;
7.6;84;5.1;7.6;4;5.8;1027.7;0;0;0;0;0;0;0;7.6;7.6;00:25;
7.6;84;5.1;7;5;7.9;1027.7;0;0;0;0;0;0;0;7.6;7.6;00:26;
7.6;84;5.1;7.6;2.5;4.3;1027.4;0;0;0;0;0;0;0;7.6;7.6;00:27;
7.6;84;5.1;6.8;5.8;5.8;1027.2;0;0;0;0;0;0;0;7.6;7.6;00:28;
